datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,detail_eng,detail
2011/1/6 17:00,1,0,1,1,9.02,11.365,51,11.0014,9,163,172,H1,34
2011/1/6 18:00,1,0,1,1,9.02,11.365,51,8.9981,5,158,163,H1,34
2011/1/6 19:00,1,0,1,1,9.02,12.88,55,6.0032,3,109,112,H1,34
2011/1/6 20:00,1,0,1,1,8.2,10.605,51,11.0014,3,66,69,I1,35
2011/1/6 21:00,1,0,1,2,9.02,10.605,55,15.0013,0,48,48,I1,35
2011/1/6 22:00,1,0,1,2,9.02,10.605,51,19.0012,1,51,52,I1,35
2011/1/6 23:00,1,0,1,2,8.2,9.85,59,12.998,4,19,23,J1,36
2011/1/7 00:00,1,0,1,2,8.2,9.85,64,12.998,4,13,17,J1,36
2011/1/7 01:00,1,0,1,2,8.2,9.85,69,15.0013,2,5,7,K1,37
2011/1/7 02:00,1,0,1,2,8.2,9.85,69,15.0013,0,1,1,K1,37
2011/1/7 04:00,1,0,1,2,8.2,10.605,69,8.9981,0,1,1,K1,37
2011/1/7 05:00,1,0,1,3,9.02,13.635,55,0,0,5,5,K1,37
2011/1/7 06:00,1,0,1,2,8.2,12.88,69,0,8,26,34,L1,38
2011/1/7 07:00,1,0,1,1,8.2,10.605,69,8.9981,8,76,84,M1,39
2011/1/7 08:00,1,0,1,1,8.2,9.85,51,16.9979,20,190,210,N1,40
2011/1/7 09:00,1,0,1,1,8.2,9.09,47,19.9995,9,125,134,M1,39
2011/1/7 10:00,1,0,1,1,9.02,9.85,37,22.0028,16,47,63,O1,41
2011/1/7 11:00,1,0,1,2,8.2,9.85,40,15.0013,19,48,67,O1,41
2011/1/7 12:00,1,0,1,2,8.2,9.85,37,16.9979,9,50,59,P1,42
2011/1/7 13:00,1,0,1,2,8.2,9.09,37,19.0012,9,64,73,P1,42
2011/1/7 14:00,1,0,1,2,8.2,9.85,40,16.9979,7,43,50,P1,42
2011/1/7 15:00,1,0,1,2,8.2,10.605,37,11.0014,9,63,72,P1,42
2011/1/7 16:00,1,0,1,2,8.2,10.605,37,11.0014,5,82,87,P1,42
2011/1/7 17:00,1,0,1,2,8.2,12.88,37,0,9,178,187,Q1,43
2011/1/7 18:00,1,0,1,1,8.2,11.365,40,6.0032,7,116,123,Q1,43
2011/1/7 19:00,1,0,1,1,6.56,9.85,55,6.0032,3,92,95,Q1,43
2011/1/7 20:00,1,0,1,1,7.38,10.605,47,7.0015,1,50,51,R1,44
2011/1/7 21:00,1,0,1,1,7.38,9.85,47,8.9981,0,39,39,R1,44
2011/1/7 22:00,1,0,1,2,7.38,9.85,43,11.0014,2,34,36,S1,45
2011/1/7 23:00,1,0,1,2,7.38,9.85,51,11.0014,1,14,15,S1,45
2011/1/8 00:00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25,T1,46
2011/1/8 01:00,1,0,0,2,7.38,10.605,55,6.0032,1,15,16,T1,46
2011/1/8 02:00,1,0,0,2,7.38,12.12,55,0,3,13,16,T1,46
2011/1/8 03:00,1,0,0,3,7.38,9.85,55,11.0014,0,7,7,U1,47
2011/1/8 04:00,1,0,0,3,7.38,9.85,55,11.0014,0,1,1,U1,47
2011/1/8 05:00,1,0,0,2,6.56,8.335,74,11.0014,0,5,5,U1,47
2011/1/8 06:00,1,0,0,2,6.56,8.335,74,11.0014,0,2,2,U1,47
2011/1/8 07:00,1,0,0,2,6.56,9.09,74,7.0015,1,8,9,V1,48
2011/1/8 08:00,1,0,0,3,6.56,9.09,93,7.0015,0,15,15,W1,49
2011/1/8 09:00,1,0,0,3,6.56,9.09,93,7.0015,0,20,20,X1,50
2011/1/8 10:00,1,0,0,2,7.38,9.85,80,11.0014,5,56,61,X1,50
2011/1/8 11:00,1,0,0,2,8.2,9.09,69,26.0027,2,60,62,X1,50
2011/1/8 12:00,1,0,0,2,8.2,9.09,59,23.9994,8,90,98,Y1,51
2011/1/8 13:00,1,0,0,1,8.2,9.09,44,22.0028,7,95,102,Y1,51
2011/1/8 14:00,1,0,0,1,8.2,8.335,32,32.9975,12,83,95,Y1,51
2011/1/8 15:00,1,0,0,1,8.2,8.335,32,30.0026,5,69,74,Y1,51
2011/1/8 16:00,1,0,0,1,7.38,6.82,29,30.0026,8,68,76,Y1,51
2011/1/8 17:00,1,0,0,1,6.56,6.06,37,36.9974,5,64,69,Y1,51
2011/1/8 18:00,1,0,0,1,5.74,6.06,39,19.9995,3,52,55,Z1,52
2011/1/8 19:00,1,0,0,1,5.74,6.06,36,16.9979,4,26,30,Z1,52
2011/1/8 20:00,1,0,0,1,4.92,6.06,36,16.9979,0,28,28,Z1,52
2011/1/8 21:00,1,0,0,1,4.92,5.305,39,23.9994,2,35,37,Z1,52
2011/1/8 22:00,1,0,0,1,4.92,5.305,36,26.0027,1,33,34,Z1,52
2011/1/8 23:00,1,0,0,1,4.1,3.03,39,30.0026,0,22,22,Z1,52
2011/1/9 00:00,1,0,0,1,4.1,3.79,42,26.0027,1,24,25,Z1,52
2011/1/9 01:00,1,0,0,1,4.1,3.03,42,31.0009,0,12,12,A2,53
2011/1/9 02:00,1,0,0,1,4.1,3.03,46,31.0009,0,11,11,A2,53
2011/1/9 03:00,1,0,0,1,4.1,3.79,46,27.9993,0,4,4,B2,54
2011/1/9 04:00,1,0,0,1,3.28,4.545,53,12.998,0,1,1,B2,54
2011/1/9 05:00,1,0,0,1,3.28,4.545,53,12.998,0,1,1,B2,54
2011/1/9 06:00,1,0,0,1,4.1,4.545,49,19.0012,0,1,1,B2,54
2011/1/9 07:00,1,0,0,1,3.28,4.545,53,12.998,1,5,6,C2,55
2011/1/9 08:00,1,0,0,1,4.1,4.545,49,19.0012,0,10,10,C2,55
2011/1/9 09:00,1,0,0,1,4.92,3.79,46,35.0008,0,19,19,D2,56
2011/1/9 10:00,1,0,0,1,5.74,5.305,43,26.0027,0,49,49,E2,57
2011/1/9 11:00,1,0,0,1,6.56,6.06,40,35.0008,2,47,49,F2,58
2011/1/9 12:00,1,0,0,1,7.38,6.82,37,30.0026,4,79,83,F2,58
2011/1/9 13:00,1,0,0,1,8.2,8.335,34,30.0026,6,69,75,F2,58
2011/1/9 14:00,1,0,0,1,9.02,9.09,32,31.0009,8,64,72,F2,58
2011/1/9 15:00,1,0,0,1,9.02,9.85,35,23.9994,5,77,82,F2,58
2011/1/9 16:00,1,0,0,1,8.2,8.335,34,30.0026,13,79,92,F2,58
2011/1/9 17:00,1,0,0,1,7.38,7.575,37,26.0027,3,59,62,F2,58
2011/1/9 18:00,1,0,0,1,6.56,6.82,40,22.0028,4,44,48,E2,57
2011/1/9 19:00,1,0,0,1,6.56,6.82,43,22.0028,1,40,41,G2,59
2011/1/9 20:00,1,0,0,1,5.74,6.06,46,16.9979,0,38,38,G2,59
2011/1/9 21:00,1,0,0,1,5.74,5.305,46,27.9993,1,19,20,G2,59
2011/1/9 22:00,1,0,0,1,5.74,6.06,46,19.9995,5,10,15,H2,60
2011/1/9 23:00,1,0,0,1,4.92,6.82,50,12.998,0,6,6,H2,60
2011/1/10 00:00,1,0,1,1,4.92,6.06,50,19.0012,2,3,5,H2,60
2011/1/10 01:00,1,0,1,1,4.92,6.06,50,19.0012,1,0,1,A,1
2011/1/10 02:00,1,0,1,1,4.92,6.06,50,15.0013,0,3,3,A,1
2011/1/10 03:00,1,0,1,1,4.92,6.06,50,15.0013,0,1,1,A,1
2011/1/10 04:00,1,0,1,1,4.1,6.06,54,8.9981,1,2,3,A,1
2011/1/10 05:00,1,0,1,1,4.1,5.305,54,16.9979,0,3,3,A,1
2011/1/10 06:00,1,0,1,1,4.92,6.06,50,19.0012,0,31,31,B,2
2011/1/10 07:00,1,0,1,1,4.92,6.06,50,15.0013,2,75,77,C,3
2011/1/10 08:00,1,0,1,2,4.92,6.06,50,19.0012,4,184,188,D,4
2011/1/10 09:00,1,0,1,2,5.74,6.06,50,16.9979,2,92,94,C,3
2011/1/10 10:00,1,0,1,2,5.74,6.06,50,19.9995,0,31,31,E,5
2011/1/10 11:00,1,0,1,2,6.56,6.82,47,19.0012,2,28,30,E,5
2011/1/10 12:00,1,0,1,2,8.2,9.09,40,19.0012,5,47,52,F,6
2011/1/10 13:00,1,0,1,2,8.2,9.09,40,19.0012,4,50,54,F,6
2011/1/10 14:00,1,0,1,2,8.2,9.85,40,15.0013,0,47,47,F,6
2011/1/10 15:00,1,0,1,2,8.2,9.85,40,15.0013,2,43,45,F,6
2011/1/10 16:00,1,0,1,1,8.2,10.605,40,8.9981,4,70,74,F,6
2011/1/10 17:00,1,0,1,1,8.2,11.365,40,7.0015,4,174,178,G,7
2011/1/10 18:00,1,0,1,1,8.2,9.85,40,15.0013,1,154,155,G,7
2011/1/10 19:00,1,0,1,1,6.56,8.335,47,11.0014,3,92,95,G,7
2011/1/10 20:00,1,0,1,1,6.56,8.335,50,11.0014,1,73,74,H,8
2011/1/10 21:00,1,0,1,1,5.74,6.82,59,12.998,1,37,38,H,8
2011/1/10 22:00,1,0,1,1,5.74,7.575,59,11.0014,2,22,24,H,8
2011/1/10 23:00,1,0,1,1,5.74,7.575,59,11.0014,0,18,18,I,9
2011/1/11 00:00,1,0,1,1,5.74,8.335,59,7.0015,2,10,12,I,9
2011/1/11 01:00,1,0,1,1,5.74,7.575,59,11.0014,0,3,3,J,10
2011/1/11 02:00,1,0,1,2,6.56,7.575,55,12.998,0,3,3,J,10
2011/1/11 05:00,1,0,1,2,6.56,9.09,55,8.9981,0,6,6,J,10
2011/1/11 06:00,1,0,1,2,6.56,9.09,55,8.9981,0,27,27,K,11
2011/1/11 07:00,1,0,1,2,6.56,11.365,55,0,2,97,99,L,12
2011/1/11 08:00,1,0,1,2,7.38,10.605,51,6.0032,3,214,217,M,13
2011/1/11 09:00,1,0,1,2,7.38,9.85,51,11.0014,3,127,130,L,12
2011/1/11 10:00,1,0,1,2,8.2,10.605,51,11.0014,3,51,54,N,14
2011/1/11 11:00,1,0,1,2,8.2,10.605,47,8.9981,4,31,35,N,14
2011/1/11 12:00,1,0,1,2,8.2,11.365,51,7.0015,2,55,57,O,15
2011/1/11 13:00,1,0,1,2,8.2,11.365,59,6.0032,6,46,52,O,15
2011/1/11 14:00,1,0,1,2,8.2,11.365,59,6.0032,3,60,63,O,15
2011/1/11 15:00,1,0,1,2,6.56,9.85,80,6.0032,2,45,47,O,15
2011/1/11 16:00,1,0,1,2,6.56,7.575,86,15.0013,4,72,76,O,15
2011/1/11 17:00,1,0,1,2,6.56,7.575,86,15.0013,6,130,136,P,16
2011/1/11 18:00,1,0,1,3,6.56,9.09,93,7.0015,1,94,95,P,16
2011/1/11 19:00,1,0,1,3,6.56,11.365,93,0,0,51,51,P,16
2011/1/11 20:00,1,0,1,3,6.56,7.575,93,12.998,0,32,32,Q,17
2011/1/11 21:00,1,0,1,3,6.56,9.85,86,6.0032,0,20,20,Q,17
2011/1/11 22:00,1,0,1,3,6.56,9.09,93,7.0015,1,28,29,Q,17
2011/1/11 23:00,1,0,1,3,6.56,9.85,93,6.0032,1,18,19,R,18
2011/1/12 00:00,1,0,1,2,6.56,9.85,86,6.0032,0,7,7,R,18
2011/1/12 01:00,1,0,1,2,6.56,9.09,86,7.0015,0,6,6,S,19
2011/1/12 02:00,1,0,1,1,5.74,7.575,86,8.9981,0,1,1,S,19
2011/1/12 05:00,1,0,1,1,5.74,7.575,86,11.0014,0,5,5,S,19
2011/1/12 06:00,1,0,1,1,4.92,7.575,93,8.9981,0,16,16,T,20
2011/1/12 07:00,1,0,1,1,5.74,7.575,69,8.9981,0,54,54,U,21
2011/1/12 08:00,1,0,1,1,6.56,8.335,59,11.0014,3,125,128,V,22
2011/1/12 09:00,1,0,1,1,6.56,6.82,59,22.0028,3,78,81,U,21
2011/1/12 10:00,1,0,1,1,7.38,9.09,55,15.0013,0,39,39,W,23
2011/1/12 11:00,1,0,1,1,8.2,9.09,51,26.0027,3,32,35,W,23
2011/1/12 12:00,1,0,1,1,8.2,7.575,47,39.0007,3,52,55,X,24
2011/1/12 13:00,1,0,1,1,9.02,9.85,44,23.9994,0,49,49,X,24
2011/1/12 14:00,1,0,1,1,8.2,9.09,47,22.0028,0,44,44,X,24
2011/1/12 15:00,1,0,1,1,8.2,8.335,47,27.9993,1,48,49,X,24
2011/1/12 16:00,1,0,1,1,9.02,9.85,44,22.0028,5,63,68,X,24
2011/1/12 17:00,1,0,1,1,8.2,9.09,47,23.9994,0,139,139,Y,25
2011/1/12 18:00,1,0,1,1,8.2,7.575,47,35.0008,2,135,137,Y,25
2011/1/12 19:00,1,0,1,1,7.38,7.575,47,27.9993,1,82,83,Y,25
2011/1/12 20:00,1,0,1,1,6.56,6.82,50,22.0028,2,54,56,Z,26
2011/1/12 21:00,1,0,1,1,6.56,6.82,55,22.0028,0,57,57,Z,26
2011/1/12 22:00,1,0,1,1,6.56,6.06,55,30.0026,1,32,33,Z,26
2011/1/12 23:00,1,0,1,1,5.74,5.305,59,27.9993,1,19,20,A1,27
2011/1/13 00:00,1,0,1,1,5.74,6.06,59,19.0012,1,6,7,A1,27
2011/1/13 01:00,1,0,1,1,5.74,6.06,50,19.0012,0,2,2,B1,28
2011/1/13 02:00,1,0,1,1,5.74,6.06,50,23.9994,0,2,2,B1,28
2011/1/13 03:00,1,0,1,1,5.74,6.06,50,22.0028,0,3,3,B1,28
2011/1/13 04:00,1,0,1,1,5.74,6.06,50,16.9979,0,4,4,B1,28
2011/1/13 05:00,1,0,1,1,5.74,6.06,50,19.9995,0,3,3,B1,28
2011/1/13 06:00,1,0,1,1,4.92,7.575,54,8.9981,0,28,28,C1,29
2011/1/13 07:00,1,0,1,1,4.92,7.575,54,8.9981,0,72,72,D1,30
2011/1/13 08:00,1,0,1,1,5.74,6.82,50,12.998,5,197,202,E1,31
2011/1/13 09:00,1,0,1,1,5.74,6.06,50,22.0028,2,137,139,D1,30
2011/1/13 10:00,1,0,1,2,6.56,6.82,50,23.9994,2,36,38,F1,32
2011/1/13 11:00,1,0,1,2,8.2,8.335,44,30.0026,4,33,37,F1,32
2011/1/13 12:00,1,0,1,1,8.2,8.335,44,27.9993,3,49,52,G1,33
2011/1/13 13:00,1,0,1,1,9.02,9.85,41,30.0026,2,81,83,G1,33
2011/1/13 14:00,1,0,1,1,9.02,9.85,41,26.0027,3,39,42,G1,33
2011/1/13 15:00,1,0,1,1,9.84,10.605,38,19.9995,5,55,60,G1,33
2011/1/13 16:00,1,0,1,1,9.84,10.605,38,23.9994,2,76,78,G1,33
2011/1/13 17:00,1,0,1,1,8.2,9.09,40,19.0012,4,158,162,H1,34
2011/1/13 18:00,1,0,1,1,8.2,9.09,40,22.0028,3,141,144,H1,34
2011/1/13 19:00,1,0,1,1,6.56,7.575,47,16.9979,1,98,99,H1,34
2011/1/13 20:00,1,0,1,1,6.56,7.575,47,15.0013,0,64,64,I1,35
2011/1/13 21:00,1,0,1,1,5.74,6.06,46,19.9995,0,40,40,I1,35
2011/1/13 22:00,1,0,1,1,5.74,6.06,46,22.0028,0,30,30,I1,35
2011/1/13 23:00,1,0,1,1,4.92,6.82,50,12.998,1,14,15,J1,36
2011/1/14 00:00,1,0,1,1,4.92,6.82,50,12.998,0,14,14,J1,36
2011/1/14 01:00,1,0,1,1,4.1,6.06,54,11.0014,0,5,5,K1,37
2011/1/14 02:00,1,0,1,1,4.1,6.06,54,8.9981,0,1,1,K1,37
2011/1/14 03:00,1,0,1,1,4.1,6.82,54,7.0015,0,1,1,K1,37
2011/1/14 05:00,1,0,1,1,4.1,6.82,54,6.0032,0,8,8,K1,37
2011/1/14 06:00,1,0,1,1,4.1,9.09,54,0,0,17,17,L1,38
2011/1/14 07:00,1,0,1,1,4.1,6.06,74,11.0014,0,70,70,M1,39
2011/1/14 08:00,1,0,1,1,4.92,8.335,68,0,2,156,158,N1,40
2011/1/14 09:00,1,0,1,1,5.74,7.575,69,8.9981,0,117,117,M1,39
2011/1/14 10:00,1,0,1,1,7.38,9.09,55,12.998,4,40,44,O1,41
2011/1/14 11:00,1,0,1,1,7.38,8.335,51,19.0012,6,47,53,O1,41
2011/1/14 12:00,1,0,1,1,8.2,9.85,44,16.9979,2,59,61,P1,42
